影片連結,文字敘述,標籤,上傳日期,置頂,音檔
https://www.tiktok.com/@ld.1003_/video/7575910353222126866?is_from_webapp=1&sender_device=pc&web_id=7575240035533309447,新衣服嘻嘻,#fyp,2025/11/23,,MONTAGEM PERIGOSA - KVRXD & SEKIMANE & Dj Samir
https://www.tiktok.com/@ld.1003_/video/7575559435393731848?is_from_webapp=1&sender_device=pc&web_id=7575240035533309447,忘記早一點的時候發了,,2025/11/22,,原聲 - XXCC
https://www.tiktok.com/@ld.1003_/video/7575465562302663944?is_from_webapp=1&sender_device=pc&web_id=7575240035533309447,一直編但沒有跳出我想要的感覺,,2025/11/22,,BAILANDO - Flame Runner
https://www.tiktok.com/@ld.1003_/video/7575175990754675975?is_from_webapp=1&sender_device=pc&web_id=7575240035533309447,美美柔肉,,2025/11/21,,原聲 - 享 ❣️ - 🥩
https://www.tiktok.com/@ld.1003_/photo/7574791836154219794?is_from_webapp=1&sender_device=pc&web_id=7575240035533309447,我沒有跟到,,2025/11/21,,오리지널 사운드 - 혜린
https://www.tiktok.com/@ld.1003_/video/7574682024439516424?is_from_webapp=1&sender_device=pc&web_id=7575240035533309447,,,2025/11/21,,原聲 - xvemis¹⁶
https://www.tiktok.com/@ld.1003_/video/7574435525944167698?is_from_webapp=1&sender_device=pc&web_id=7575240035533309447,nastyyyy,,2025/11/20,,原聲 - 鹿🦌
https://www.tiktok.com/@ld.1003_/video/7574323383672835336?is_from_webapp=1&sender_device=pc&web_id=7575240035533309447,這也是我自己編的 最近很常編 但我覺得不太能說是自編 說是重組動作好了,,2025/11/20,,CONFUSAO - EL BOSS
https://www.tiktok.com/@ld.1003_/video/7573989492369935624?is_from_webapp=1&sender_device=pc&web_id=7575240035533309447,？,,2025/11/19,,原聲 - 零6⃣️ - 小胖🍁
https://www.tiktok.com/@ld.1003_/video/7573523875485568274?is_from_webapp=1&sender_device=pc&web_id=7575240035533309447,,,2025/11/18,,son original - Ꝉҽҽ ʏbᴎɘM🎱
https://www.tiktok.com/@ld.1003_/video/7573114762230336786?is_from_webapp=1&sender_device=pc&web_id=7575240035533309447,我編ㄉ（右下角有小狗,#fyp,2025/11/17,,CORPO FALA - Cotneus & Luc Wall
https://www.tiktok.com/@ld.1003_/photo/7572811970362232082?is_from_webapp=1&sender_device=pc&web_id=7575240035533309447,已經看了這組照片幾十遍,,2025/11/16,,original sound - ❤️‍🩹
https://www.tiktok.com/@ld.1003_/video/7572590511869988104?is_from_webapp=1&sender_device=pc&web_id=7575240035533309447,,,2025/11/15,,suara asli - 𝟑𝟎𝟑 𝐌𝐨𝐢𝐧𝐧. - Dreamoin
https://www.tiktok.com/@ld.1003_/video/7572559120675376392?is_from_webapp=1&sender_device=pc&web_id=7575240035533309447,老婆代言的 一直買,,2025/11/15,,som original - ᴸᵒᵘⁱˢ🍭
https://www.tiktok.com/@ld.1003_/video/7572445388104273170?is_from_webapp=1&sender_device=pc&web_id=7575240035533309447,真懷念,#fyp #newjeans #dance,2025/11/15,,som original - Ric Editzx
https://www.tiktok.com/@ld.1003_/video/7572213345655278855?is_from_webapp=1&sender_device=pc&web_id=7575240035533309447,今天兩部:0 dc:@Nguyễn Huỳnh Tiên,,2025/11/13,,CORPO FALA - Cotneus & Luc Wall
https://www.tiktok.com/@ld.1003_/video/7572187786351086855?is_from_webapp=1&sender_device=pc&web_id=7575240035533309447,頭髮沒分好頭上長屁股,#06,2025/11/13,,original sound - 音乐馆🎶
https://www.tiktok.com/@ld.1003_/video/7571804967195921682?is_from_webapp=1&sender_device=pc&web_id=7575240035533309447,采婕編的 喜歡,,2025/11/12,,原聲 - 采婕𝑼𝒏𝒂
https://www.tiktok.com/@ld.1003_/video/7571443201110822151?is_from_webapp=1&sender_device=pc&web_id=7575240035533309447,我們兩個穿的都是我在開團的棉褲 明天最後一天ㄌㄚ 想買快去哀居下單8,,2025/11/11,,son original - Trendformusic🤍🇲🇺
https://www.tiktok.com/@ld.1003_/video/7570967124097764615?is_from_webapp=1&sender_device=pc&web_id=7575240035533309447,,#fyp,2025/11/10,,original sound - frozy
https://www.tiktok.com/@ld.1003_/video/7570343695623490824?is_from_webapp=1&sender_device=pc&web_id=7544718851271919112,久歌跟老了的我,#06,2025/11/8,,原聲 - 鹿🦌
https://www.tiktok.com/@ld.1003_/video/7569932209163996424?is_from_webapp=1&sender_device=pc&web_id=7544718851271919112,都剪一整天了 這邊也是要發一下的 裡面會附我寫的小卡片 希望不要嫌棄我字醜,,2025/11/7,,原聲 - 鹿🦌
https://www.tiktok.com/@ld.1003_/video/7569483154034134280?is_from_webapp=1&sender_device=pc&web_id=7544718851271919112,建議加強手臂,,2025/11/6,,original sound - J4zyué - 𝓙𝓪𝔃𝔂𝓾𝓮💋ྀིྀི
https://www.tiktok.com/@ld.1003_/video/7569202422413839623?is_from_webapp=1&sender_device=pc&web_id=7544718851271919112,我編的！但沒有時間所以相當簡單的,,2025/11/5,,NO BATIDÃO - Slowed - ZXKAI & slxughter
https://www.tiktok.com/@ld.1003_/video/7569014056162446610?is_from_webapp=1&sender_device=pc&web_id=7544718851271919112,嗯嗯,,2025/11/5,,original sound - TYLA
https://www.tiktok.com/@ld.1003_/video/7568833431216426248?is_from_webapp=1&sender_device=pc&web_id=7544718851271919112,我正在開團這件棉褲 到11/12喜歡的話可以去看看求求了沒有人買我會好尷尬,,2025/11/4,,screwbot factory 2 rhythm Heaven fever - lancelqt
https://www.tiktok.com/@ld.1003_/video/7568722056360119559?is_from_webapp=1&sender_device=pc&web_id=7544718851271919112,好聽,,2025/11/4,,sonido original - Valentino🤎🐻👑
https://www.tiktok.com/@ld.1003_/video/7568492461912329490?is_from_webapp=1&sender_device=pc&web_id=7544718851271919112,🕺,,2025/11/3,,MUITA ONDA - Slowed - DJ Javi26 & TXKKOMXNE
https://www.tiktok.com/@ld.1003_/video/7568313700143205639?is_from_webapp=1&sender_device=pc&web_id=7544718851271919112,喜歡這首,#fyp,2025/11/3,,NO BATIDÃO - ZXKAI & slxughter
https://www.tiktok.com/@ld.1003_/video/7568065683838242055?is_from_webapp=1&sender_device=pc&web_id=7544718851271919112,dc: @Zoe Dang,,2025/11/3,,bloodline - nick ୨୧
https://www.tiktok.com/@ld.1003_/video/7567737783612149010?is_from_webapp=1&sender_device=pc&web_id=7544718851271919112,親愛的,,2025/11/1,,nhạc nền - Dưa hấu không đường
https://www.tiktok.com/@ld.1003_/video/7567343366841601287?is_from_webapp=1&sender_device=pc&web_id=7555889317076321800,最後了,,2025/10/31,,som original - 𝐕𝐢𝐛𝐞𝐗 𝐌𝐮𝐬𝐢𝐜 🎧
